Ingredient,Description,Category,Substitutes
advantame,An artifical sweetner.,Sugars,"[{'Substitute': '1 tablespoon acesulfame K', 'Equivalent': '= 1 tablespoon advantame', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 tablespoon aspartame', 'Equivalent': '= 1 tablespoon advantame', 'Note': '', 'Nutritional value': {'Carbs': '89.1 g', 'Calories': '365 Cals.', 'Salt': '0 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '2.2 g', 'Sugars': '80.7 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 tablespoon saccarin', 'Equivalent': '= 1 tablespoon advantame', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 tablespoon sucralose', 'Equivalent': '= 1 tablespoon advantame', 'Note': '', 'Nutritional value': {'Carbs': '100 g', 'Calories': '0 Cals.', 'Salt': '0 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '100 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 tablespoon Neotame', 'Equivalent': '= 1 tablespoon advantame', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
advocaat,This is a very thick liqueur made from brandy and egg yolks.   It's normally eaten with a spoon or added to coffee or hot chocolate. Warninks and Bols are highly regarded brands,Other Liqueurs,"[{'Substitute': '1 gallon eggnog', 'Equivalent': '= 1 gallon advocaat', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 pint Irish cream liqueur', 'Equivalent': '= 1 pint advocaat', 'Note': '', 'Nutritional value': {'Carbs': '20.9 g', 'Calories': '327 Cals.', 'Salt': '92 mg', 'Fat': '15.7 g', 'Cholesterol': '58 mg', 'Vitamin C': '0.2 mg', 'Calcium': '16 mg', 'Protein': '2.8 g', 'Sugars': '19.8 g', 'Fiber': '0 g', 'Mono Fats': '4.5 g', 'Poly Fats': '0.7 g', 'Saturated Fats': '9.7 g'}}]"
African bird pepper,This is the North African equivalent of our cayenne pepper.,African Spices,"[{'Substitute': '1 tablespoon cayenne pepper dried', 'Equivalent': '= 1 tablespoon African bird pepper', 'Note': '', 'Nutritional value': {'Carbs': '56.6 g', 'Calories': '318 Cals.', 'Salt': '30 mg', 'Fat': '17.3 g', 'Cholesterol': '0 mg', 'Vitamin C': '76.4 mg', 'Calcium': '148 mg', 'Protein': '12 g', 'Sugars': '10.3 g', 'Fiber': '27.2 g', 'Mono Fats': '2.8 g', 'Poly Fats': '8.4 g', 'Saturated Fats': '3.3 g'}}]"
agar,"Since gelatin is made from animal tissue, many vegetarians rely upon this seaweed derivative as a substitute.  Like ordinary gelatin, agar is flavorless and becomes gelatinous when it's dissolved in water, heated, and then cooled.   Agar, though, gels more firmly than gelatin, and it sets and melts at a higher temperature--it can even set at room temperature.  Agar, like gelatin, is full of protein (though incomplete), but it also contains the rich array of minerals one would expect from seaweed.   To use agar, just soak it in the liquid for about 15 minutes, bring it to a gentle boil, then simmer while stirring until it's completely dissolved.  The liquid will gel as it cools.  Acids weakens agar's gelling power, so if you're firming an acidic liquid, use more.  Like gelatin, agar will break down if exposed to the enzymes of certain raw fruits, like kiwi fruit, papayas, pineapple, peaches, mangos, guavas, and figs.  Cooking these fruits, though, destroys the enzymes.  If you plan to add any of these fruits to a gelatin salad, it's a good idea to buy them in cans, since all canned fruit is pre-cooked.   Agar comes in flakes, powder, or bars.",Gelatins,"[{'Substitute': '1 tablespoon gelatin', 'Equivalent': '= 1 tablespoon agar', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '335 Cals.', 'Salt': '196 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '55 mg', 'Protein': '85.6 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0 g', 'Saturated Fats': '0.1 g'}}]"
agar noodles,"These are strips of agar agar gelatin, which are usually served cold in a salad. Before using, soak them in boiling water until they're soft.",Other Asian Noodles,"[{'Substitute': '1 pound bean threads', 'Equivalent': '= 1 pound agar noodles', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
agnolotti,"Italian for ""priests' caps,"" agnolotti are small, stuffed crescents of egg-dough pasta that are usually filled with roasted meat, cheese, mushrooms, and/or spinach. A specialty of Italy's Piedmont region, they're great in a broth or pasta salad.",Stuffed Pasta,"[{'Substitute': '1 pound ravioli', 'Equivalent': '= 1 pound agnolotti', 'Note': '', 'Nutritional value': {'Carbs': '33.6 g', 'Calories': '300 Cals.', 'Salt': '693 mg', 'Fat': '13.6 g', 'Cholesterol': '61 mg', 'Vitamin C': '0 mg', 'Calcium': '114 mg', 'Protein': '10 g', 'Sugars': '3.6 g', 'Fiber': '2.1 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '3.6 g'}}, {'Substitute': '1 pound cappelletti', 'Equivalent': '= 1 pound agnolotti', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 pound tortelli', 'Equivalent': '= 1 pound agnolotti', 'Note': '', 'Nutritional value': {'Carbs': '74.7 g', 'Calories': '371 Cals.', 'Salt': '6 mg', 'Fat': '1.5 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '21 mg', 'Protein': '13 g', 'Sugars': '2.7 g', 'Fiber': '3.2 g', 'Mono Fats': '0.2 g', 'Poly Fats': '0.6 g', 'Saturated Fats': '0.3 g'}}]"
Agrinion olives,"This is a large, green Greek olive with very tender flesh.",Olives,[]
aioli,Aioli is usually a mixture of mayonnaise and garlic. But it can be a mixture of olive oil and garlic.,European condiments,"[{'Substitute': '2 cloves garlic roasted and diced + 1 ounce mayonnaise', 'Equivalent': '= 1 ounce aioli', 'Note': '', 'Nutritional value': {'Carbs': '5.5 g', 'Calories': '681 Cals.', 'Salt': '300.9 mg', 'Fat': '65.7 g', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
ají panca chili - dried,"This reddish-brown dried chili is fruity, mild, and a little smoky.",Dried Chile Peppers,"[{'Substitute': '1 each pasilla chili', 'Equivalent': '= 1 each ají panca chili - dried', 'Note': '', 'Nutritional value': {'Carbs': '51.1 g', 'Calories': '345 Cals.', 'Salt': '89 mg', 'Fat': '15.9 g', 'Cholesterol': '0 mg', 'Vitamin C': '6.4 mg', 'Calcium': '97 mg', 'Protein': '12.4 g', 'Sugars': '0 g', 'Fiber': '26.8 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
aji amarillo,"This hot (40,000 Scovilles) chili originated in Peru and is a common usage in western South America. It is four inches long and yellow until it matures and turns red.",Fresh Chile Peppers,"[{'Substitute': '1 each cayenne pepper - fresh', 'Equivalent': '= 1 each aji amarillo', 'Note': '', 'Nutritional value': {'Carbs': '5.1 g', 'Calories': '24 Cals.', 'Salt': '3 mg', 'Fat': '0.2 g', 'Cholesterol': '0 mg', 'Vitamin C': '97 mg', 'Calcium': '9 mg', 'Protein': '0.9 g', 'Sugars': '3 g', 'Fiber': '1.8 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 each jalapeno pepper', 'Equivalent': '= 1 each aji amarillo', 'Note': '', 'Nutritional value': {'Carbs': '6.5 g', 'Calories': '29 Cals.', 'Salt': '3 mg', 'Fat': '0.4 g', 'Cholesterol': '0 mg', 'Vitamin C': '118.6 mg', 'Calcium': '12 mg', 'Protein': '0.9 g', 'Sugars': '4.1 g', 'Fiber': '2.8 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0.1 g'}}]"
ajwa dates,"These dark skinned ajwa dates are grown around Medina, Saudi Arabia. They were said to have been a favorite of the prophet Mohammad.",Dates,"[{'Substitute': '1 pound dates', 'Equivalent': '= 1 pound ajwa dates', 'Note': '', 'Nutritional value': {'Carbs': '75 g', 'Calories': '282 Cals.', 'Salt': '2 mg', 'Fat': '0.4 g', 'Cholesterol': '0 mg', 'Vitamin C': '0.4 mg', 'Calcium': '39 mg', 'Protein': '2.5 g', 'Sugars': '63.4 g', 'Fiber': '8 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound raisins', 'Equivalent': '= 1 pound ajwa dates', 'Note': '', 'Nutritional value': {'Carbs': '79.2 g', 'Calories': '299 Cals.', 'Salt': '11 mg', 'Fat': '0.5 g', 'Cholesterol': '0 mg', 'Vitamin C': '2.3 mg', 'Calcium': '50 mg', 'Protein': '3.1 g', 'Sugars': '59.2 g', 'Fiber': '3.7 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0 g', 'Saturated Fats': '0.1 g'}}, {'Substitute': '1 pound dried fig', 'Equivalent': '= 1 pound ajwa dates', 'Note': '', 'Nutritional value': {'Carbs': '63.9 g', 'Calories': '249 Cals.', 'Salt': '10 mg', 'Fat': '0.9 g', 'Cholesterol': '0 mg', 'Vitamin C': '1.2 mg', 'Calcium': '162 mg', 'Protein': '3.3 g', 'Sugars': '0 g', 'Fiber': '9.8 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
ajwain,"These look like small caraway seeds, but they taste like a pungent version of thyme.  Indian cooks like to sprinkle them on breads.  Look for them in Indian markets.",Indian Spices,"[{'Substitute': '2 tablespoons thyme dried', 'Equivalent': '= 1 tablespoon ajwain', 'Note': 'use more', 'Nutritional value': {'Carbs': '24.5 g', 'Calories': '101 Cals.', 'Salt': '9 mg', 'Fat': '1.7 g', 'Cholesterol': '0 mg', 'Vitamin C': '160.1 mg', 'Calcium': '405 mg', 'Protein': '5.6 g', 'Sugars': '0 g', 'Fiber': '14 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0.5 g', 'Saturated Fats': '0.5 g'}}, {'Substitute': '1 tablespoon cumin', 'Equivalent': '= 1 tablespoon ajwain', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '0 Cals.', 'Salt': '0 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '0 g', 'Fiber': '31.2 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 tablespoon caraway seed', 'Equivalent': '= 1 tablespoon ajwain', 'Note': '', 'Nutritional value': {'Carbs': '49.9 g', 'Calories': '333 Cals.', 'Salt': '17 mg', 'Fat': '14.6 g', 'Cholesterol': '0 mg', 'Vitamin C': '21 mg', 'Calcium': '689 mg', 'Protein': '19.8 g', 'Sugars': '0.6 g', 'Fiber': '38 g', 'Mono Fats': '7.1 g', 'Poly Fats': '3.3 g', 'Saturated Fats': '0.6 g'}}]"
albacore,,Tuna,"[{'Substitute': '1 pound tuna', 'Equivalent': '= 1 pound albacore', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '109 Cals.', 'Salt': '45 mg', 'Fat': '0.5 g', 'Cholesterol': '39 mg', 'Vitamin C': '0 mg', 'Calcium': '4 mg', 'Protein': '24.4 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0.2 g'}}]"
ale,"There are two types of beer: lager, which is pale, light, and effervescent, and ale, which is heavier and more bitter. Types of ale include pale ale, porter, and stout.",Beer,"[{'Substitute': '1 bottle brown ale', 'Equivalent': '= 1 bottle ale', 'Note': '', 'Nutritional value': {'Carbs': '7.5 g', 'Calories': '29 Cals.', 'Salt': '10 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '7.5 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 bottle India pale ale', 'Equivalent': '= 1 bottle ale', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 bottle porter ale', 'Equivalent': '= 1 bottle ale', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 bottle stout', 'Equivalent': '= 1 bottle ale', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
Aleppo olives,"This is a black, dry-cured Middle Eastern olive that's hard to find in the United States.",Olives,[]
Aleppo pepper,,Middle Eastern Spices,"[{'Substitute': '1 tablespoon cayenne pepper - ground + 4 tablespoons paprika sweet', 'Equivalent': '= 5 tablespoons Aleppo pepper', 'Note': '', 'Nutritional value': {'Carbs': '54.5 g', 'Calories': '289.2 Cals.', 'Salt': '60.4 mg', 'Fat': '13.8 g', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
alexanders,Alexanders was a widely used vegetable for centuries. It grows naturally mostly in coastal areas through out Europe and the Mediterranean. Alexanders is attractive because the green shoots are available in the late winter. It has fallen out of favor.,European Herbs,"[{'Substitute': '1 pound watercress', 'Equivalent': '= 1 pound alexanders', 'Note': '', 'Nutritional value': {'Carbs': '1.3 g', 'Calories': '11 Cals.', 'Salt': '41 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '43 mg', 'Calcium': '120 mg', 'Protein': '2.3 g', 'Sugars': '0.2 g', 'Fiber': '0.5 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound celery', 'Equivalent': '= 1 pound alexanders', 'Note': '', 'Nutritional value': {'Carbs': '3 g', 'Calories': '16 Cals.', 'Salt': '80 mg', 'Fat': '0.2 g', 'Cholesterol': '0 mg', 'Vitamin C': '3.1 mg', 'Calcium': '40 mg', 'Protein': '0.7 g', 'Sugars': '1.3 g', 'Fiber': '1.6 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound parsley', 'Equivalent': '= 1 pound alexanders', 'Note': '', 'Nutritional value': {'Carbs': '6.3 g', 'Calories': '36 Cals.', 'Salt': '56 mg', 'Fat': '0.8 g', 'Cholesterol': '0 mg', 'Vitamin C': '133 mg', 'Calcium': '138 mg', 'Protein': '3 g', 'Sugars': '0.9 g', 'Fiber': '3.3 g', 'Mono Fats': '0.3 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0.1 g'}}]"
alfalfa sprouts,"These are too wispy to cook, but they're great raw in salads and sandwiches.",Sprouts,"[{'Substitute': '1 pound sunflower sprouts', 'Equivalent': '= 1 pound alfalfa sprouts', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 pound mung bean sprouts', 'Equivalent': '= 1 pound alfalfa sprouts', 'Note': 'thicker shoots, crunchier, less sweet', 'Nutritional value': {'Carbs': '5.9 g', 'Calories': '30 Cals.', 'Salt': '6 mg', 'Fat': '0.2 g', 'Cholesterol': '0 mg', 'Vitamin C': '13.2 mg', 'Calcium': '13 mg', 'Protein': '3 g', 'Sugars': '4.1 g', 'Fiber': '1.8 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound soybean sprouts', 'Equivalent': '= 1 pound alfalfa sprouts', 'Note': 'more of a bean flavor', 'Nutritional value': {'Carbs': '9.6 g', 'Calories': '122 Cals.', 'Salt': '14 mg', 'Fat': '6.7 g', 'Cholesterol': '0 mg', 'Vitamin C': '15.3 mg', 'Calcium': '67 mg', 'Protein': '13.1 g', 'Sugars': '0 g', 'Fiber': '1.1 g', 'Mono Fats': '1.5 g', 'Poly Fats': '3.8 g', 'Saturated Fats': '0.9 g'}}, {'Substitute': '1 pound fenugreek', 'Equivalent': '= 1 pound alfalfa sprouts', 'Note': 'more bitter', 'Nutritional value': {'Carbs': '58.4 g', 'Calories': '323 Cals.', 'Salt': '67 mg', 'Fat': '6.4 g', 'Cholesterol': '0 mg', 'Vitamin C': '3 mg', 'Calcium': '176 mg', 'Protein': '23 g', 'Sugars': '0 g', 'Fiber': '24.6 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '1.5 g'}}]"
alligator,"Alligator meat is lean and mild and people say it tastes like a combination of pork, chicken, and rabbit.  The best meat comes from the tail.",Game,"[{'Substitute': '1 pound turtle', 'Equivalent': '= 1 pound alligator', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '89 Cals.', 'Salt': '68 mg', 'Fat': '0.5 g', 'Cholesterol': '50 mg', 'Vitamin C': '0 mg', 'Calcium': '118 mg', 'Protein': '19.8 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0.2 g', 'Saturated Fats': '0.1 g'}}, {'Substitute': '1 pound chicken', 'Equivalent': '= 1 pound alligator', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '234 Cals.', 'Salt': '45 mg', 'Fat': '17.1 g', 'Cholesterol': '75 mg', 'Vitamin C': '1.7 mg', 'Calcium': '11 mg', 'Protein': '18.8 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '7.3 g', 'Poly Fats': '3.6 g', 'Saturated Fats': '5 g'}}]"
